,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,month_sold,age
36,4,1.0,1660,1.0,0.0,0.0,1,5,5,89
37,4,2.0,2360,2.0,0.0,0.0,4,8,12,118
38,4,1.0,1220,1.0,0.0,0.0,2,7,2,53
39,4,2.5,2620,2.0,0.0,0.0,3,8,6,26
40,4,2.5,2570,2.0,0.0,0.0,3,9,7,22
41,4,2.25,4220,1.0,0.0,0.0,3,8,8,38
42,5,2.75,3595,2.0,0.0,0.0,3,9,7,8
43,3,1.0,1570,2.0,0.0,0.0,3,7,10,100
44,3,1.0,1280,1.0,0.0,0.0,4,6,7,63
45,3,2.5,3160,2.0,0.0,0.0,3,8,7,19
46,3,1.0,990,1.0,0.0,0.0,3,6,3,56
47,4,2.5,2290,2.0,0.0,0.0,4,9,7,41
48,3,1.75,1250,1.0,0.0,0.0,4,7,4,69
49,3,2.5,2753,1.0,1.0,2.0,5,9,3,69
50,3,1.0,1190,1.0,0.0,0.0,3,7,9,67
51,5,2.5,3150,1.0,0.0,0.0,4,8,2,56
52,3,1.75,1410,1.0,0.0,0.0,4,7,12,72
53,2,1.75,1980,1.0,0.0,0.0,3,7,2,41
54,5,2.25,2730,1.5,0.0,0.0,3,8,3,95
55,4,2.5,2830,2.0,0.0,0.0,3,9,5,27
56,4,2.5,2250,2.0,0.0,0.0,3,7,8,14
57,3,2.5,2420,2.0,0.0,0.0,3,8,4,19
58,5,3.25,3250,2.0,0.0,4.0,4,8,8,54
59,4,3.0,1850,2.0,0.0,0.0,3,8,2,31
60,3,2.25,2150,1.0,0.0,3.0,4,8,12,63
61,3,1.75,1260,1.0,0.0,0.0,3,7,8,68
62,3,1.75,2519,2.0,0.0,0.0,5,8,10,49
63,3,1.75,1540,3.0,0.0,0.0,3,8,12,8
64,3,2.25,1660,1.0,0.0,0.0,3,7,6,43
65,3,2.75,2770,1.5,0.0,0.0,5,7,11,97
66,4,2.5,2720,2.0,0.0,0.0,3,10,9,33
67,4,2.5,2240,2.0,0.0,0.0,3,7,10,17
68,3,1.0,1000,1.0,0.0,0.0,4,7,8,54
69,5,2.25,3200,1.0,0.0,0.0,3,8,6,57
70,5,3.25,4770,1.0,0.0,0.0,4,11,9,49
71,3,2.0,1260,1.0,0.0,0.0,4,7,1,50
72,4,2.0,2750,1.5,0.0,0.0,5,7,6,106
73,4,2.5,2380,2.0,0.0,0.0,3,8,7,17
74,3,1.75,1790,1.0,0.0,0.0,5,7,3,57
75,4,4.0,3430,2.0,0.0,0.0,4,10,11,36
76,4,1.75,1760,1.0,0.0,0.0,3,7,10,66
77,3,1.0,1040,1.0,0.0,0.0,3,7,4,81
78,3,1.0,1410,1.0,0.0,0.0,4,7,6,66
79,4,2.5,3450,2.0,0.0,0.0,3,10,3,20
80,3,2.5,2350,2.0,0.0,0.0,3,8,12,19
81,4,2.5,1900,2.0,0.0,0.0,3,7,12,30
82,2,1.0,2020,1.0,0.0,0.0,3,7,10,74
83,3,1.5,1680,1.0,0.0,0.0,3,8,1,58
84,3,1.0,960,1.0,0.0,0.0,3,6,6,70
85,3,1.5,2140,2.0,0.0,0.0,3,9,11,97
86,5,2.25,2660,1.5,0.0,0.0,5,7,11,61
87,3,3.25,2770,2.0,0.0,0.0,3,9,6,16
88,2,2.25,1610,2.0,0.0,0.0,4,7,5,43
89,2,1.75,1030,2.0,0.0,0.0,3,7,9,16
90,4,2.5,1980,2.0,0.0,0.0,3,7,5,34
91,5,2.75,3520,2.0,0.0,0.0,4,10,3,21
92,3,1.0,1200,1.0,0.0,0.0,3,7,2,60
93,3,1.5,1580,1.0,0.0,0.0,3,8,7,83
94,3,1.5,1580,1.0,0.0,0.0,3,8,12,83
95,4,2.5,3300,1.0,0.0,0.0,3,7,9,76
96,3,1.75,1960,1.0,0.0,0.0,3,7,3,55
97,4,1.5,1160,1.0,0.0,0.0,4,7,9,47
98,3,1.75,1810,1.0,0.0,0.0,5,7,7,42
99,3,2.5,2320,2.0,0.0,2.0,3,9,5,30
100,3,2.5,2070,1.5,0.0,0.0,5,9,6,112
101,3,2.0,1980,1.5,0.0,0.0,4,7,10,93
102,3,2.25,2190,2.0,0.0,0.0,4,8,12,39
103,3,2.5,2920,2.0,0.0,0.0,3,8,10,72
104,3,1.0,1210,1.0,0.0,0.0,3,7,9,68
105,3,2.5,2340,1.0,0.0,0.0,4,8,4,44
106,3,1.0,1670,1.5,0.0,0.0,4,7,5,83
107,2,1.75,1240,1.0,0.0,0.0,4,8,7,37
108,4,2.5,3140,2.0,0.0,0.0,4,10,3,31
109,5,1.75,2030,2.0,0.0,0.0,4,7,8,80
110,4,2.5,2310,2.0,0.0,0.0,3,8,7,38
111,3,1.75,1260,1.0,0.0,0.0,5,6,3,117
112,3,1.75,1540,1.0,0.0,0.0,4,7,9,42
113,3,1.75,2080,1.0,0.0,2.0,3,7,11,51
114,4,2.5,3230,2.0,0.0,0.0,3,9,10,21
115,3,3.5,4380,2.0,0.0,0.0,3,8,11,122
116,3,3.5,1590,3.0,0.0,0.0,3,8,6,12
117,2,1.0,880,1.0,0.0,0.0,4,6,6,77
118,4,2.0,1570,1.0,0.0,0.0,3,6,1,72
119,4,1.0,1610,1.5,0.0,0.0,4,7,5,97
120,3,2.5,2400,1.0,0.0,2.0,3,8,1,58
121,3,2.0,1450,1.0,0.0,0.0,3,7,11,35
122,2,1.0,770,1.0,0.0,0.0,3,6,4,69
123,4,1.75,2100,1.5,0.0,0.0,5,7,11,98
124,3,2.25,2910,2.0,0.0,0.0,3,9,6,32
125,4,2.75,2750,1.5,0.0,0.0,3,8,3,108
126,3,2.25,2100,1.0,0.0,2.0,3,8,7,55
127,4,2.25,2160,1.0,0.0,0.0,3,8,7,44
128,5,3.5,2320,2.0,0.0,0.0,5,7,6,96
129,4,2.5,2070,2.0,0.0,0.0,3,7,4,18
130,3,1.75,1060,1.0,0.0,0.0,4,7,1,36
131,4,2.25,2010,1.0,0.0,0.0,3,8,4,36
132,3,3.5,3950,1.5,0.0,0.0,3,9,6,33
133,3,2.5,2010,2.0,0.0,0.0,3,8,5,8
134,4,3.5,2140,3.0,0.0,0.0,3,9,1,17
135,3,1.75,1320,1.0,0.0,0.0,4,7,8,66
136,4,1.75,2020,1.0,0.0,0.0,3,7,8,54
137,4,2.25,2590,1.0,0.0,0.0,4,8,5,54
138,2,1.0,1190,1.0,0.0,0.0,3,6,7,41
139,3,2.25,1170,3.0,0.0,0.0,3,8,5,8
140,2,1.0,1110,1.0,0.0,0.0,3,7,6,97
141,5,2.5,2820,1.0,0.0,0.0,4,8,7,54
142,3,1.0,1610,1.0,0.0,0.0,4,7,5,60
143,3,1.0,1060,1.0,0.0,0.0,4,7,4,99
144,4,2.25,2030,1.0,0.0,0.0,4,8,2,61
145,4,2.5,3670,2.0,0.0,0.0,4,9,12,28
146,4,1.0,2550,2.0,0.0,0.0,3,8,6,117
147,2,2.5,2420,2.0,0.0,0.0,3,7,8,15
148,5,2.0,2260,1.0,0.0,0.0,4,8,10,62
149,3,1.0,1430,1.0,0.0,0.0,3,7,11,75
150,3,2.0,1360,2.0,0.0,0.0,3,8,8,32
151,3,1.0,1110,1.5,0.0,0.0,3,7,4,75
152,3,1.0,1250,1.0,0.0,0.0,4,7,3,68
153,4,3.25,5180,2.0,0.0,3.0,3,12,4,16
154,1,1.0,700,1.0,0.0,0.0,3,7,5,80
155,3,1.0,1180,1.0,0.0,0.0,4,7,7,55
156,5,3.5,3960,2.0,0.0,0.0,3,9,11,26
157,4,2.75,2640,1.0,0.0,0.0,3,8,8,55
158,3,2.0,1270,1.5,0.0,0.0,3,7,11,106
159,4,1.75,1760,1.0,0.0,0.0,4,8,10,54
160,5,2.25,2060,1.0,0.0,0.0,3,7,5,60
161,3,1.75,1780,1.0,0.0,0.0,3,7,3,60
162,3,2.5,3400,2.0,0.0,0.0,3,10,3,22
163,3,2.75,1910,1.0,0.0,0.0,3,7,6,43
164,3,2.0,2020,1.0,0.0,0.0,4,7,8,47
165,3,1.75,1580,1.0,0.0,0.0,3,7,12,46
166,2,1.75,1340,1.0,0.0,0.0,5,5,2,73
167,4,2.5,2680,2.0,0.0,0.0,3,9,3,23
168,3,2.5,2680,1.0,0.0,0.0,4,8,6,43
169,3,2.0,1370,1.0,0.0,0.0,5,7,6,58
170,3,1.75,1560,1.0,0.0,0.0,3,7,3,68
171,3,1.75,2160,1.0,0.0,0.0,4,7,1,44
172,3,1.5,1340,1.5,0.0,0.0,3,7,5,67
173,4,2.5,3880,2.0,0.0,0.0,3,10,1,38
174,4,2.25,2590,2.0,0.0,0.0,4,8,9,42
175,3,2.5,1120,2.0,0.0,0.0,3,8,2,14
176,5,2.75,1970,1.0,0.0,0.0,3,7,7,36
177,3,1.0,1220,1.0,0.0,0.0,3,6,5,121
178,3,1.5,1950,1.0,0.0,2.0,4,7,11,47
179,2,1.0,1350,1.0,0.0,0.0,3,7,1,73
180,3,2.5,1670,2.0,0.0,0.0,3,7,7,34
181,4,3.0,2380,1.5,0.0,0.0,4,7,4,97
182,4,3.0,2440,2.0,0.0,0.0,5,7,6,61
183,2,1.5,1050,2.0,0.0,0.0,3,7,7,26
184,4,2.75,3130,2.0,0.0,0.0,3,9,9,29
185,5,3.0,4090,1.0,0.0,2.0,4,10,11,36
186,4,1.75,1490,1.0,0.0,0.0,4,8,4,53
187,3,2.5,1900,2.0,0.0,0.0,3,8,5,35
188,4,1.0,1330,1.5,0.0,0.0,4,6,4,121
189,3,2.25,2230,1.0,0.0,0.0,3,8,12,47
190,3,1.75,1650,1.0,0.0,0.0,3,7,8,45
191,3,1.0,1190,1.0,0.0,0.0,3,6,11,63
192,3,2.5,2140,1.0,0.0,0.0,4,8,9,63
193,3,2.5,2180,1.0,0.0,0.0,4,7,6,60
194,3,1.0,1060,1.0,0.0,0.0,3,7,12,74
195,3,2.5,1690,2.0,0.0,0.0,3,8,5,19
196,4,2.0,1970,1.5,0.0,0.0,5,7,11,102
197,3,2.5,2150,2.0,0.0,0.0,3,8,7,15
198,3,2.5,1910,2.0,0.0,0.0,3,7,1,25
199,3,1.75,1350,1.0,0.0,0.0,4,7,10,53
200,3,1.0,860,1.0,0.0,0.0,4,6,3,79
201,3,2.5,1940,2.0,0.0,0.0,3,8,11,28
202,3,1.0,1010,1.0,0.0,0.0,3,7,7,70
203,3,1.5,1300,1.0,0.0,0.0,4,7,8,46
204,3,1.0,910,1.0,0.0,0.0,4,6,3,60
205,4,1.75,2480,1.0,0.0,0.0,4,9,8,56
206,3,2.5,2440,2.0,0.0,0.0,3,8,9,12
207,3,1.0,1010,1.0,0.0,0.0,3,7,2,107
208,2,0.75,900,1.0,0.0,0.0,3,6,11,81
209,6,3.0,2300,2.0,0.0,0.0,3,7,7,102
210,4,2.25,1550,2.0,0.0,0.0,3,8,4,29
211,3,2.25,1270,2.0,0.0,0.0,3,8,7,8
212,4,2.5,2240,1.0,0.0,0.0,3,9,5,39
213,3,2.5,2714,2.0,0.0,0.0,3,9,1,17
214,4,2.75,1720,2.0,0.0,0.0,3,8,5,44
215,2,1.0,850,1.0,0.0,0.0,3,6,1,99
216,5,3.0,3300,1.0,0.0,3.0,3,9,2,65
217,3,2.5,2250,2.0,0.0,0.0,3,8,7,22
218,2,2.25,3900,1.0,0.0,3.0,3,8,8,75
219,2,1.5,1320,1.0,0.0,0.0,4,8,10,75
220,4,2.5,2760,2.0,0.0,0.0,3,10,8,23
221,3,2.0,1750,1.0,0.0,0.0,3,7,6,61
222,4,2.25,2330,2.0,0.0,0.0,3,8,9,35
223,3,2.25,2220,1.0,0.0,0.0,4,8,9,56
224,3,2.25,2020,2.0,0.0,0.0,3,7,9,28
225,3,2.25,1250,1.0,0.0,0.0,5,7,6,80
226,2,2.0,1510,1.0,0.0,0.0,3,8,3,17
227,4,2.25,1720,1.0,0.0,0.0,4,7,5,44
228,3,1.0,1430,1.0,0.0,0.0,4,7,1,61
229,3,2.5,1480,2.0,0.0,0.0,3,7,3,18
230,2,1.75,1450,2.0,1.0,4.0,3,7,4,107
231,4,2.75,2280,1.0,0.0,0.0,5,7,6,62
232,6,2.75,2940,1.0,0.0,0.0,3,8,11,44
233,2,1.0,1000,1.0,0.0,0.0,3,6,11,61
234,3,1.5,2480,1.5,0.0,0.0,5,7,9,75
235,5,4.0,3760,2.0,0.0,0.0,3,10,6,39
236,3,2.0,2220,1.0,0.0,0.0,5,7,4,46
237,4,1.0,1970,1.5,0.0,0.0,3,7,3,118
238,3,3.5,3830,2.0,0.0,0.0,3,10,7,29
239,6,2.5,4410,1.0,0.0,2.0,4,9,5,57
240,3,1.75,1430,1.0,0.0,0.0,4,7,12,54
241,2,1.0,830,1.0,0.0,0.0,3,6,10,82
242,2,1.0,1430,1.5,0.0,0.0,2,7,1,97
243,3,1.0,1300,1.0,0.0,0.0,4,6,4,68
244,2,1.0,1030,1.0,0.0,2.0,4,7,8,104
245,3,2.5,2740,2.0,0.0,0.0,3,9,2,32
246,4,2.5,3650,1.0,1.0,4.0,3,9,9,22
247,2,1.5,720,1.0,0.0,0.0,3,6,2,68
248,4,2.0,2010,1.0,0.0,0.0,4,7,3,46
249,3,1.75,1560,1.0,0.0,0.0,4,6,4,104
250,3,2.0,1810,1.0,0.0,0.0,4,7,9,44
251,4,2.5,3360,2.0,0.0,0.0,3,9,5,21
252,3,2.25,1510,2.0,0.0,0.0,3,8,4,31
253,3,1.0,1400,1.0,0.0,0.0,3,7,4,69
254,3,2.5,1730,2.0,0.0,0.0,3,7,9,35
255,2,2.0,1420,1.5,0.0,2.0,5,7,5,94
256,4,1.75,2360,1.0,0.0,0.0,4,7,10,67
257,3,1.75,1580,1.0,0.0,0.0,4,7,2,48
258,3,1.0,1230,1.0,0.0,0.0,3,7,11,43
259,4,2.5,2460,2.0,0.0,0.0,3,8,8,16
260,3,1.0,1660,1.5,0.0,0.0,3,8,12,111
261,3,1.75,1270,1.0,0.0,0.0,4,7,10,62
262,3,2.25,2100,2.0,0.0,0.0,3,10,12,43
263,2,1.0,770,1.0,0.0,0.0,3,5,4,92
264,1,0.75,760,1.0,1.0,4.0,5,5,10,86
265,4,2.5,1700,2.0,0.0,0.0,4,7,5,34
266,3,1.0,1120,1.0,0.0,0.0,3,7,9,68
267,2,1.0,1070,1.0,0.0,0.0,3,7,8,85
268,3,2.5,2070,1.0,0.0,0.0,3,8,4,43
269,4,3.25,5050,1.5,0.0,2.0,3,11,5,40
270,4,4.75,5310,2.0,0.0,0.0,4,11,10,33
271,2,1.0,1040,1.0,0.0,0.0,4,7,5,83
272,3,1.0,1700,1.0,0.0,0.0,4,7,10,55
273,3,1.0,1300,1.0,0.0,0.0,3,7,9,61
274,3,1.75,1080,1.0,0.0,0.0,3,7,11,68
275,3,2.5,2653,2.0,0.0,0.0,3,8,3,16
276,3,2.0,2290,1.0,0.0,0.0,5,8,1,62
277,4,2.75,3820,2.0,0.0,0.0,3,9,11,8
278,4,2.5,2210,1.0,0.0,0.0,3,8,5,25
279,3,1.75,2390,1.0,0.0,0.0,3,6,5,114
280,4,1.75,2600,1.0,0.0,0.0,4,7,7,53
281,2,1.0,860,1.0,0.0,0.0,3,6,2,91
282,5,3.0,3830,2.0,0.0,1.0,5,9,5,117
283,4,2.5,3500,2.0,0.0,0.0,3,9,6,17
284,3,3.0,2420,1.0,0.0,0.0,4,8,4,34
285,4,2.5,2720,2.0,0.0,0.0,3,9,9,30
286,5,2.25,2500,1.0,0.0,0.0,3,7,10,43
287,3,1.75,1670,1.0,0.0,0.0,3,7,2,42
288,5,2.25,2900,1.0,0.0,0.0,3,8,7,37
289,2,1.0,1640,1.0,0.0,0.0,4,7,8,68
290,4,2.5,1890,2.0,0.0,0.0,4,7,7,54
291,4,1.75,2950,1.0,0.0,2.0,4,8,2,47
292,4,2.5,2160,2.0,0.0,0.0,3,9,10,30
293,4,3.0,3280,2.0,0.0,0.0,3,8,10,36
294,3,2.0,1970,2.0,0.0,3.0,5,8,7,93
295,4,2.5,3360,2.0,0.0,0.0,3,10,7,28
296,3,2.0,1320,1.0,0.0,0.0,3,7,8,29
297,3,2.5,2650,2.0,0.0,0.0,3,8,3,32
298,3,1.5,2030,1.0,0.0,0.0,3,7,6,59
299,3,1.75,1590,1.0,0.0,2.0,3,7,5,65
300,4,5.0,4550,1.0,1.0,4.0,3,10,6,20
301,3,2.5,2440,2.0,0.0,0.0,3,8,8,24
302,3,2.5,1940,1.0,0.0,0.0,4,7,6,74
303,3,2.5,2040,2.0,0.0,0.0,3,8,4,16
304,3,2.25,2200,1.0,0.0,0.0,4,7,1,58
305,3,1.75,1920,1.0,0.0,0.0,4,8,2,109
306,4,2.75,1800,1.0,0.0,0.0,4,8,4,57
307,4,2.25,2180,2.0,0.0,0.0,3,8,6,38
308,2,1.0,1010,1.5,0.0,0.0,4,6,2,114
309,4,2.75,3320,2.0,0.0,0.0,5,8,1,62
310,4,2.5,2370,1.5,0.0,2.0,5,8,2,94
311,5,1.75,1660,1.5,0.0,0.0,3,6,10,107
312,5,2.5,3650,2.0,0.0,4.0,5,10,5,101
313,4,3.25,4290,1.0,0.0,3.0,3,11,6,25
314,4,3.25,4290,1.0,0.0,3.0,3,11,12,25
315,4,2.25,1950,1.0,0.0,0.0,3,8,11,43
316,3,2.0,2590,1.0,0.0,0.0,5,8,4,74
317,3,2.5,1930,1.0,0.0,0.0,4,8,5,34
318,2,1.0,1470,1.0,0.0,0.0,4,7,7,106
319,4,1.0,800,1.0,0.0,0.0,3,6,11,79
320,5,2.75,3150,2.0,0.0,0.0,3,9,5,9
321,3,2.25,2030,2.0,0.0,0.0,3,8,10,38
322,3,2.0,1450,1.0,0.0,0.0,3,7,7,19
323,3,1.75,1510,1.0,0.0,0.0,3,7,2,53
324,2,1.0,1240,1.0,0.0,0.0,3,6,9,100
325,2,1.0,1240,1.0,0.0,0.0,3,6,3,100
326,3,2.5,3030,2.0,0.0,0.0,3,9,10,35
327,4,2.0,2050,1.5,0.0,0.0,4,9,9,100
328,3,1.0,1000,1.0,0.0,0.0,2,7,4,70
329,3,2.25,2370,1.0,0.0,0.0,4,9,7,45
330,4,3.5,2800,2.0,0.0,0.0,3,9,9,71
331,6,1.75,2240,2.0,0.0,0.0,4,7,4,67
332,3,2.0,1810,1.0,0.0,2.0,3,8,7,31
333,2,1.0,1070,1.0,0.0,0.0,3,7,4,98
334,4,2.0,2490,2.0,0.0,0.0,5,9,7,54
335,4,2.5,1960,2.0,0.0,0.0,3,7,10,19
336,3,2.75,2930,1.0,0.0,0.0,3,9,6,18
337,4,2.0,1510,1.5,0.0,0.0,5,7,7,111
338,3,1.75,1420,1.0,0.0,0.0,3,7,8,68
339,3,1.75,1740,1.0,0.0,0.0,3,7,5,68
340,4,1.75,2560,2.0,0.0,0.0,4,7,4,60
341,4,3.5,3040,2.0,0.0,0.0,3,9,11,12
342,3,1.75,2500,1.0,0.0,0.0,3,8,9,65
343,4,1.75,1275,1.0,0.0,0.0,4,6,10,31
344,4,2.5,2580,2.0,0.0,0.0,3,8,7,20
345,4,1.0,1000,1.0,0.0,0.0,3,6,7,79
346,4,1.0,1000,1.0,0.0,0.0,3,6,12,79
347,2,1.0,1070,1.0,0.0,0.0,4,6,12,92
348,3,2.0,1390,1.0,0.0,0.0,4,7,10,35
349,4,1.75,2500,1.0,0.0,0.0,3,7,4,49
350,1,0.75,560,1.0,0.0,0.0,3,4,6,55
351,4,2.75,2270,2.0,0.0,0.0,3,9,9,57
352,3,1.0,1900,1.0,0.0,0.0,4,7,1,68
353,2,1.0,990,1.0,0.0,2.0,5,7,12,115
354,4,1.5,1550,1.0,0.0,0.0,4,7,3,53
355,4,1.75,2200,1.0,0.0,0.0,5,7,6,67
356,4,2.5,1910,2.0,0.0,0.0,3,7,8,17
357,4,1.0,1750,1.5,0.0,0.0,4,7,10,68
358,3,1.0,1330,1.0,0.0,0.0,3,7,5,94
359,3,2.5,2440,2.0,0.0,2.0,3,9,8,22
360,3,2.5,1640,2.0,0.0,0.0,3,7,6,30
361,5,2.5,2760,2.0,0.0,0.0,4,9,8,44
362,4,2.5,1820,2.0,0.0,0.0,3,7,12,28
363,3,2.5,2110,1.0,0.0,0.0,3,8,8,9
364,5,2.5,3040,1.0,0.0,2.0,4,8,9,56
365,3,2.0,1840,2.0,0.0,0.0,3,7,1,28
366,4,2.5,2990,2.0,0.0,0.0,3,9,3,20
367,4,2.5,3520,2.0,0.0,0.0,3,10,10,31
368,4,2.75,2440,1.0,0.0,0.0,4,8,4,33
369,4,3.0,2090,1.0,0.0,0.0,3,7,11,36
370,3,2.25,1430,2.0,0.0,0.0,3,7,12,29
371,4,2.25,2180,1.0,0.0,0.0,5,7,10,68
372,4,2.25,2180,1.0,0.0,0.0,5,7,3,68
373,5,3.0,3450,2.0,0.0,0.0,3,9,12,18
374,3,2.25,1450,2.0,0.0,0.0,3,7,8,28
375,4,2.5,3230,2.0,0.0,0.0,3,10,5,18
376,3,1.75,1640,1.0,0.0,0.0,3,7,6,82
377,3,3.0,1590,1.0,0.0,0.0,3,7,10,25
378,4,2.0,2020,2.0,0.0,0.0,3,7,4,62
379,3,1.5,1300,1.5,0.0,0.0,3,7,4,118
380,2,1.5,1380,1.0,0.0,0.0,1,6,9,68
381,3,3.0,4040,2.0,0.0,0.0,3,10,8,36
382,4,2.25,2130,2.0,0.0,0.0,3,7,3,21
383,4,2.25,2550,1.0,0.0,0.0,3,8,1,54
384,5,3.5,4800,2.0,0.0,2.0,3,11,7,24
385,4,2.25,2510,2.0,0.0,0.0,4,8,11,53
386,3,2.0,1410,1.0,0.0,0.0,4,7,6,39
387,3,2.0,1650,1.0,0.0,0.0,3,7,5,43
388,4,2.5,2120,2.0,0.0,0.0,3,8,9,29
389,4,1.5,2040,1.0,0.0,0.0,3,7,8,68
390,4,1.0,1550,1.5,0.0,0.0,3,7,12,65
391,3,2.75,1980,2.0,0.0,0.0,4,9,9,43
392,3,2.5,1600,2.0,0.0,0.0,3,8,6,17
393,4,2.75,3300,2.0,0.0,0.0,3,8,5,69
394,4,2.5,3840,2.0,0.0,1.0,4,10,7,39
395,2,1.0,1220,1.0,0.0,0.0,5,7,4,72
396,5,2.25,2720,1.0,0.0,0.0,4,7,3,64
397,4,2.0,1940,1.0,0.0,0.0,1,8,6,60
398,3,2.5,2160,1.5,0.0,0.0,3,7,6,113
399,4,1.75,1530,1.5,0.0,0.0,4,7,6,54
400,3,3.5,1710,2.0,0.0,0.0,3,8,3,14
401,4,1.75,3730,1.0,0.0,0.0,4,7,8,48
402,2,1.0,940,1.0,0.0,0.0,4,7,4,85
403,3,2.5,1750,2.0,0.0,0.0,3,8,2,28
404,4,2.5,1820,2.0,0.0,0.0,3,7,6,28
405,3,3.25,1510,2.0,0.0,0.0,3,9,9,21
406,3,2.0,1290,3.0,0.0,0.0,3,8,8,21
407,3,2.0,1570,1.0,0.0,0.0,3,7,4,24
408,4,2.5,1930,2.0,0.0,0.0,3,8,4,27
409,4,3.5,2840,1.0,0.0,4.0,4,10,9,36
410,3,2.5,1550,2.0,0.0,0.0,3,7,3,31
411,2,1.0,833,1.0,0.0,0.0,3,5,7,16
412,3,2.5,2990,2.0,0.0,0.0,4,8,11,44
413,3,2.5,2000,2.0,0.0,0.0,3,9,7,27
414,4,1.5,2390,1.5,0.0,2.0,3,7,2,102
415,3,1.75,2910,1.0,0.0,0.0,4,7,9,55
416,4,1.75,2085,1.0,0.0,0.0,3,7,6,58
417,4,2.25,2200,1.0,0.0,0.0,5,7,1,60
418,3,2.25,1860,2.0,0.0,0.0,3,8,12,10
419,5,4.25,6070,2.0,0.0,0.0,3,12,7,23
420,2,1.0,950,1.0,0.0,0.0,3,7,12,81
421,3,1.75,1600,1.0,0.0,0.0,5,7,7,67
422,3,2.5,2250,2.0,0.0,0.0,3,8,12,34
423,3,2.5,2280,2.0,0.0,0.0,4,8,1,37
424,2,1.0,940,1.0,0.0,0.0,3,7,7,113
425,3,2.5,1530,1.0,0.0,0.0,5,7,4,26
426,5,1.75,2190,1.0,0.0,0.0,4,7,11,75
427,3,2.0,2350,1.0,0.0,0.0,4,8,2,46
428,4,2.0,1440,1.0,0.0,0.0,3,7,5,51
429,3,2.5,2200,2.0,0.0,0.0,3,8,5,17
430,4,3.0,2290,2.0,0.0,0.0,3,9,10,32
431,4,3.0,4040,2.0,0.0,0.0,3,11,9,35
432,4,2.5,2610,1.5,0.0,0.0,5,8,7,100
433,3,2.5,1490,2.0,0.0,0.0,3,7,9,17
434,4,2.5,2450,2.0,0.0,0.0,3,8,9,19
435,4,2.5,1710,1.0,0.0,0.0,3,9,9,46
436,5,2.5,4870,2.0,0.0,0.0,3,10,8,39
437,3,2.5,3130,2.0,0.0,0.0,3,10,3,31
438,2,2.0,1270,3.0,0.0,0.0,3,8,7,22
439,3,1.75,2120,1.0,0.0,2.0,3,8,9,45
440,3,1.5,1670,1.0,0.0,0.0,5,7,9,68
441,3,2.25,2070,2.0,0.0,0.0,3,7,7,48
442,2,1.0,1420,1.0,0.0,0.0,3,8,7,69
443,3,1.5,1250,1.0,0.0,0.0,4,6,4,42
444,3,1.0,940,1.0,0.0,0.0,4,7,8,62
445,3,1.75,1920,1.0,0.0,0.0,3,7,12,54
446,3,2.5,3545,1.0,0.0,0.0,3,10,11,17
447,3,2.0,1260,1.0,0.0,0.0,3,7,3,50
448,5,2.5,2340,1.0,0.0,0.0,3,7,10,47
