,bedrooms,bathrooms,log_sqft_living,sqft_above,sqft_living15,floors,waterfront,view,condition,grade,month_sold,age
43,4,2.5,8.06777619577889,3190,3420,2.0,0.0,0.0,3,11,8,32
44,4,2.5,7.570443252057374,1940,1940,2.0,0.0,0.0,3,8,5,19
45,4,3.5,7.893572073504902,2040,1530,2.0,0.0,0.0,3,8,5,80
46,4,3.0,8.68946441235669,4950,4240,2.0,0.0,4.0,3,11,5,18
47,2,2.5,6.907755278982137,990,1330,2.0,0.0,0.0,3,7,12,18
48,4,2.75,7.989560449333865,1810,2000,2.0,0.0,0.0,5,7,11,110
49,2,1.0,6.856461984594587,810,1510,1.0,0.0,0.0,3,6,10,97
50,5,3.0,8.263590432617319,3880,2620,2.0,0.0,0.0,3,7,9,18
51,4,2.75,7.9157131993821155,2740,1220,2.0,0.0,0.0,3,10,3,7
52,3,2.25,7.1308988302963465,1250,1250,3.0,0.0,0.0,3,8,8,15
53,5,3.0,8.029432840581244,3070,2760,2.0,0.0,0.0,3,8,7,17
54,3,2.0,7.114769448366463,1020,1260,2.0,0.0,0.0,3,7,8,19
55,2,1.0,6.984716320118266,1080,1890,1.0,0.0,0.0,3,8,4,74
56,4,2.5,7.709756864454165,1180,1470,1.0,0.0,0.0,4,7,3,41
57,4,1.75,7.595889917718538,1990,2620,1.0,0.0,0.0,4,8,2,50
58,3,2.25,7.4205789054108005,1670,2300,1.5,0.0,3.0,3,8,6,119
59,3,1.75,7.615791072035833,1630,2120,1.0,0.0,0.0,3,8,12,46
60,2,1.0,6.802394763324311,900,1440,1.0,0.0,0.0,4,6,12,84
61,3,2.5,7.261927092702751,1425,1285,3.0,0.0,0.0,3,8,4,14
62,2,1.0,6.907755278982137,1000,1830,1.0,0.0,2.0,4,7,10,106
63,5,1.0,7.843848638152472,2550,1570,2.5,0.0,0.0,4,9,6,117
64,3,1.5,7.473069088032197,1160,2080,1.0,0.0,0.0,3,7,6,64
65,2,1.5,6.907755278982137,1000,2300,3.0,0.0,0.0,3,8,2,17
66,3,2.5,7.7406644019172415,2000,2100,1.5,0.0,0.0,4,8,5,101
67,4,1.75,7.897296472595885,2690,1920,1.5,0.0,0.0,3,7,11,82
68,3,2.25,7.682482446534506,2170,1700,2.0,0.0,0.0,3,8,9,8
69,4,2.5,8.199738960630786,3640,3570,2.0,0.0,0.0,3,9,12,8
70,5,4.5,8.37793112408273,4350,3990,2.0,0.0,0.0,3,11,12,8
71,2,1.5,7.222566018822171,1080,1560,2.0,0.0,0.0,3,8,6,14
72,3,2.5,7.912056888179006,2730,2800,2.0,0.0,0.0,3,10,8,27
73,4,2.5,8.077136638538454,3220,3150,2.0,0.0,0.0,3,9,3,20
74,3,1.75,7.533693709848633,1870,1350,2.0,0.0,0.0,3,7,4,66
75,4,2.75,7.8119734296220225,1350,1500,1.0,0.0,0.0,5,7,8,82
76,5,2.75,7.835974581721566,1520,2400,1.0,0.0,0.0,3,7,12,30
77,2,3.0,8.058327306580958,3160,3140,2.0,0.0,0.0,3,7,5,29
78,3,1.0,7.200424892944957,1340,2090,1.0,0.0,0.0,3,7,12,63
79,2,1.5,7.560080465021827,960,1130,1.0,0.0,0.0,4,7,7,110
80,4,1.75,7.799753318287247,1610,2180,1.0,0.0,0.0,3,8,6,44
81,2,1.0,6.956545443151569,1050,2540,1.5,0.0,3.0,4,6,5,112
82,4,2.5,7.591861714889934,1982,2340,2.0,0.0,0.0,3,8,5,18
83,3,1.75,7.162397497355718,1290,1770,1.0,0.0,0.0,3,7,3,38
84,3,1.0,6.927557906278317,1020,1650,1.0,0.0,0.0,3,7,2,41
85,3,2.5,7.749322464660356,2320,2610,2.0,0.0,0.0,3,9,9,30
86,4,1.75,7.736307096548285,1390,1170,1.0,0.0,0.0,3,7,11,59
87,2,1.75,6.907755278982137,940,1900,1.0,0.0,0.0,3,6,7,116
88,3,3.5,8.185907481482324,3590,3230,2.0,0.0,0.0,3,10,6,23
89,3,1.75,7.1853870155804165,1320,1440,1.5,0.0,0.0,5,7,5,104
90,3,4.25,8.546751993657782,4170,4270,2.5,0.0,2.0,3,11,7,68
91,4,1.5,8.045588280803528,1660,2900,1.0,0.0,3.0,3,8,8,66
92,3,3.25,7.31986492980897,1510,1390,3.0,0.0,0.0,3,8,8,16
93,3,2.5,7.258412150595307,1020,2060,1.0,0.0,0.0,4,7,5,59
94,2,1.0,7.003065458786462,1100,1460,1.0,0.0,0.0,4,7,3,72
95,4,2.5,7.709756864454165,2230,2490,2.0,0.0,0.0,3,7,8,20
96,2,1.0,7.106606137727303,1220,1510,1.0,0.0,0.0,4,6,6,75
97,3,1.75,7.286191714702382,1460,1550,1.0,0.0,0.0,3,7,8,37
98,4,1.75,7.473069088032197,920,1680,1.0,0.0,0.0,4,7,11,72
99,3,2.25,7.408530566894626,1260,1760,1.0,0.0,0.0,3,7,8,53
100,3,2.5,7.358830898342354,1570,1570,2.0,0.0,0.0,3,7,4,29
101,5,6.25,8.98969370086056,8020,4160,2.0,0.0,0.0,3,11,7,21
102,3,2.0,7.215239978730097,1360,2530,1.0,0.0,2.0,4,6,3,80
103,4,3.5,8.210668031162976,2670,1350,2.5,0.0,0.0,3,9,9,92
104,5,3.0,8.134467570277563,1870,2390,1.0,0.0,0.0,4,8,5,54
105,2,1.0,6.672032945461067,790,900,1.0,0.0,0.0,3,6,4,75
106,3,1.5,7.549609165154532,1200,1670,1.0,0.0,0.0,4,7,7,54
107,4,2.5,7.936660155225426,2798,2502,2.0,0.0,0.0,3,9,12,11
108,3,1.0,7.05617528410041,1160,1160,1.0,0.0,0.0,3,7,4,55
109,4,2.75,7.799753318287247,1640,2170,1.5,0.0,2.0,4,7,7,81
110,3,1.0,7.038783541388542,990,1300,1.0,0.0,0.0,3,6,1,80
111,4,2.25,7.709756864454165,1810,2840,1.5,0.0,2.0,3,8,3,94
112,5,1.75,7.687080155783135,1140,2140,1.0,0.0,0.0,3,7,8,59
113,4,2.25,7.940939762327791,1710,1860,1.0,0.0,1.0,3,7,5,64
114,4,2.25,8.405143687607614,4470,3210,2.0,0.0,0.0,3,11,5,34
115,4,1.75,8.13739583005665,1770,2450,1.0,0.0,3.0,5,8,5,75
116,4,2.0,7.484368643286131,870,1350,1.0,0.0,0.0,3,7,12,29
117,2,1.0,7.286191714702382,1460,1460,1.0,0.0,0.0,3,6,3,98
118,3,1.0,6.733401891837359,840,840,1.0,0.0,0.0,3,6,9,63
119,3,2.25,7.575584651557793,1570,2160,1.0,0.0,0.0,4,8,1,57
120,4,1.5,7.757906208351747,2100,2320,2.0,0.0,0.0,3,8,4,110
121,3,3.5,7.313220387090301,1240,1440,2.0,0.0,0.0,3,8,6,18
122,3,2.5,7.705262474866325,2220,1980,2.0,0.0,0.0,4,8,5,32
123,3,1.0,7.038783541388542,1140,1140,1.0,0.0,0.0,4,7,3,59
124,3,1.75,7.5652752818989315,1930,1930,1.0,0.0,0.0,3,8,5,45
125,3,1.75,7.668561108015897,1570,2170,1.0,0.0,0.0,4,7,7,64
126,3,1.0,6.966024187106113,1060,1310,1.0,0.0,0.0,4,7,6,66
127,4,3.25,8.354674261918463,4250,2830,2.0,0.0,0.0,3,9,6,18
128,5,3.25,8.271292652979412,2710,2650,2.0,0.0,0.0,3,9,7,22
129,3,2.5,7.414572881350589,1660,1630,2.0,0.0,0.0,4,8,2,34
130,4,2.5,7.7406644019172415,1840,2120,1.0,0.0,0.0,4,7,10,64
131,3,2.25,7.595889917718538,1990,1220,2.0,0.0,0.0,3,7,6,55
132,2,1.0,6.917705609835305,1010,1560,1.0,0.0,0.0,3,6,4,119
133,3,2.75,8.151909872940905,3470,4130,3.0,0.0,4.0,3,11,1,33
134,4,3.0,7.989560449333865,1980,2140,2.0,0.0,3.0,3,9,1,43
135,4,2.25,7.835974581721566,1320,2530,1.0,0.0,0.0,5,8,2,45
136,2,1.75,7.098375638590786,1210,1700,2.0,0.0,0.0,3,8,4,8
137,4,2.25,7.77485576666552,2380,2030,2.0,0.0,0.0,4,8,12,38
138,4,2.5,7.718685495198466,2250,1980,2.0,0.0,0.0,3,8,6,33
139,3,2.25,7.919356190660617,1870,2430,2.0,0.0,0.0,3,7,10,41
140,4,3.25,8.32117830749028,4110,4190,2.0,0.0,2.0,3,11,10,27
141,3,2.25,7.3901814282264295,1540,1620,2.5,0.0,0.0,3,8,12,10
142,3,1.0,6.733401891837359,840,1010,1.0,0.0,0.0,3,5,1,79
143,4,2.75,8.086410275323782,3250,3920,2.0,0.0,0.0,3,9,2,15
144,3,2.5,7.691656822810547,1540,2880,1.0,0.0,0.0,4,7,9,65
145,3,2.25,7.705262474866325,1780,2080,1.0,0.0,0.0,4,8,9,56
146,3,1.5,7.495541943884256,1800,1490,1.0,0.0,0.0,4,7,7,56
147,3,2.5,7.687080155783135,1240,2000,1.0,0.0,0.0,4,8,12,45
148,3,2.25,7.528331766707247,1020,1180,1.5,0.0,0.0,5,7,11,102
149,3,3.0,7.8399193600125825,1580,2270,1.0,0.0,0.0,3,7,3,44
150,2,1.0,7.222566018822171,1370,1330,1.0,0.0,0.0,4,6,11,72
151,2,2.0,7.5652752818989315,1930,1670,1.0,0.0,0.0,3,8,10,19
152,1,1.0,6.633318433280377,760,1270,1.0,0.0,0.0,3,7,8,122
153,3,1.5,7.215239978730097,1360,1440,1.0,0.0,0.0,4,7,9,67
154,3,2.0,7.346010209913293,1150,1840,1.0,0.0,0.0,3,7,5,63
155,2,1.0,6.907755278982137,1000,1560,1.0,0.0,0.0,3,6,6,62
156,2,1.5,7.1853870155804165,1320,2120,1.0,0.0,0.0,4,8,10,75
157,3,3.0,7.832014180505469,1560,1140,1.5,0.0,0.0,3,8,5,97
158,3,1.75,6.993932975223189,1090,1640,1.5,0.0,0.0,5,8,3,93
159,3,1.75,7.426549072397305,1680,3340,1.0,0.0,0.0,4,7,2,56
160,3,2.0,7.352441100243583,1560,1240,1.5,0.0,0.0,3,7,8,112
161,3,2.5,7.965545573129992,2880,3190,2.0,0.0,0.0,3,10,9,30
162,3,3.5,8.14902386805177,3460,3350,2.0,0.0,0.0,3,10,7,36
163,2,1.0,6.71901315438526,828,828,1.0,0.0,0.0,3,6,3,54
164,4,1.75,7.432483807917119,1690,2300,1.0,0.0,0.0,4,8,9,63
165,3,3.0,7.736307096548285,1890,2230,2.5,0.0,0.0,3,8,2,8
166,2,1.0,6.907755278982137,1000,1490,1.0,0.0,0.0,3,7,7,60
167,3,2.25,7.580699752224563,1600,1980,1.0,0.0,0.0,3,8,12,42
168,3,2.0,7.3395376954076745,1120,1910,1.0,0.0,0.0,3,7,5,61
169,3,1.0,6.946975992135418,1040,1040,1.0,0.0,0.0,4,6,3,61
170,3,1.0,6.907755278982137,1000,1320,1.0,0.0,0.0,3,7,1,67
171,5,2.5,7.644919344958857,1420,2490,1.0,0.0,0.0,3,8,11,56
172,4,2.5,7.757906208351747,2340,2510,2.0,0.0,0.0,3,9,8,35
173,4,3.25,8.183118079394745,3480,2410,1.5,1.0,4.0,4,7,1,107
174,4,2.75,7.696212639346407,1410,2240,1.0,0.0,0.0,3,7,3,33
175,3,1.5,7.371489295214277,1590,1590,1.0,0.0,0.0,3,7,6,66
176,4,1.0,7.414572881350589,1660,1810,1.5,0.0,0.0,5,7,3,107
177,4,3.0,8.210668031162976,2320,3210,1.5,0.0,0.0,4,8,1,52
178,5,4.75,8.662158961666423,4260,3460,2.0,0.0,0.0,3,11,7,16
179,3,1.5,7.272398392570047,1440,1440,1.0,0.0,0.0,3,7,8,45
180,3,2.5,7.948031990637284,1730,2040,1.0,0.0,3.0,3,9,10,68
181,3,1.75,7.170119543449628,880,2440,1.0,0.0,3.0,3,8,9,61
182,3,2.5,7.371489295214277,1110,1590,2.0,0.0,0.0,3,7,12,38
183,3,2.0,7.22983877815125,1380,1480,3.0,0.0,0.0,3,8,6,7
184,3,2.5,7.67786350067821,2160,1990,2.0,0.0,0.0,3,8,4,23
185,4,1.0,7.570443252057374,1080,1940,1.0,0.0,0.0,3,7,5,60
186,2,1.0,6.620073206530356,750,1340,1.0,0.0,0.0,4,6,9,79
187,4,1.0,7.696212639346407,1640,3250,1.0,0.0,4.0,4,8,3,66
188,7,3.5,8.151909872940905,3470,3040,2.0,0.0,0.0,4,9,4,42
189,4,3.5,7.9229859587111955,2000,1690,2.0,0.0,2.0,3,8,12,96
190,3,2.25,7.9229859587111955,2760,2760,1.0,0.0,0.0,3,8,7,53
191,1,1.25,7.003065458786462,1100,1110,3.0,0.0,0.0,3,9,6,8
192,4,3.25,8.361708288575842,4280,3420,2.0,0.0,0.0,4,11,10,38
193,4,1.75,7.5652752818989315,1670,2730,1.5,0.0,2.0,3,8,10,81
194,3,2.0,7.414572881350589,1010,1660,1.0,0.0,0.0,3,7,12,37
195,2,1.0,6.917705609835305,1010,1800,1.0,0.0,0.0,3,7,9,101
196,4,2.5,7.930206206684683,2780,2750,2.0,0.0,0.0,3,9,9,20
197,3,2.5,7.549609165154532,1900,2100,2.0,0.0,0.0,3,8,2,28
198,3,2.0,7.478734825567875,960,2010,1.0,0.0,0.0,4,7,5,68
199,2,1.0,7.251344983372214,940,1450,1.0,0.0,2.0,4,7,1,104
200,3,2.25,7.444248649496705,1710,1680,2.0,0.0,0.0,3,7,7,33
201,4,2.5,7.687080155783135,2180,2180,2.0,0.0,0.0,3,7,10,22
202,4,3.5,8.048788283534199,2430,3200,2.0,0.0,0.0,3,9,11,11
203,5,2.0,8.122668023346407,2140,1920,1.5,0.0,0.0,4,7,5,115
204,2,2.0,7.731930721948486,2280,2280,1.0,0.0,0.0,3,8,6,20
205,3,2.5,7.858640655620791,2588,2403,2.0,0.0,0.0,3,8,3,14
206,4,3.75,8.06777619577889,3190,2290,2.0,1.0,4.0,3,10,4,23
207,4,3.5,8.174702882469461,2260,4100,1.0,0.0,2.0,3,11,7,23
208,4,2.25,7.3777589082278725,1080,1620,1.0,0.0,0.0,4,7,11,43
209,3,1.5,7.615791072035833,1330,2140,1.0,0.0,0.0,3,7,6,59
210,3,2.0,7.31986492980897,1510,2060,1.0,0.0,0.0,3,7,5,68
211,4,2.0,7.5652752818989315,1030,1220,1.0,0.0,0.0,4,7,5,55
212,4,3.5,8.58858318750291,5370,3780,2.0,0.0,0.0,3,10,4,20
213,3,1.5,7.461640392208575,1740,2580,2.0,0.0,0.0,3,9,10,48
214,4,2.25,7.6638772587034705,2130,2110,2.0,0.0,0.0,4,8,9,57
215,3,2.5,7.986164860332727,1710,2540,1.0,0.0,0.0,3,9,9,26
216,4,2.75,8.035926369891792,2340,2760,2.0,0.0,2.0,3,8,9,63
217,4,2.5,7.979338895262328,1470,3210,1.0,0.0,3.0,3,8,5,101
218,2,1.0,7.346010209913293,1550,1188,1.0,0.0,0.0,3,6,4,75
219,2,1.0,7.138866999945524,1000,1780,1.0,0.0,0.0,3,7,9,82
220,4,2.25,7.6544432264701125,1630,2370,1.0,0.0,0.0,3,8,1,44
221,2,1.0,6.620073206530356,750,1460,1.0,0.0,0.0,3,6,3,72
222,2,1.0,6.709304340258298,820,1320,1.0,0.0,0.0,4,6,7,97
223,3,1.0,7.222566018822171,1370,1080,1.0,0.0,0.0,4,6,8,64
224,5,1.5,7.948031990637284,2830,1480,2.5,0.0,0.0,4,8,10,104
225,3,1.0,6.917705609835305,1010,1250,1.0,0.0,0.0,4,7,8,47
226,4,3.0,7.3395376954076745,1540,1460,1.5,0.0,0.0,5,7,9,120
227,4,2.25,7.649692623711514,2100,1660,3.0,0.0,0.0,3,8,8,21
228,3,2.25,7.691656822810547,2190,1510,3.0,0.0,0.0,3,8,11,8
229,3,1.0,7.365180126021013,1010,1710,1.0,0.0,0.0,3,7,7,60
230,3,2.5,7.659171367666058,2120,2250,2.0,0.0,0.0,3,7,8,16
231,4,4.5,8.237479288613633,2770,2660,2.0,0.0,4.0,4,11,2,112
232,4,1.75,7.358830898342354,1570,1870,1.0,0.0,0.0,3,7,5,43
233,3,1.5,7.8399193600125825,1500,1870,1.0,0.0,0.0,3,8,7,63
234,3,2.5,7.791522819150732,2420,2370,2.0,0.0,0.0,3,8,9,8
235,4,3.0,7.682482446534506,2170,2010,2.0,0.0,0.0,3,8,7,30
236,3,1.75,7.371489295214277,1590,1800,1.5,0.0,0.0,4,6,11,69
237,2,1.0,7.02108396428914,750,1530,1.0,0.0,1.0,3,6,11,93
238,3,1.5,7.585788821732034,1970,1850,1.0,0.0,0.0,4,6,9,54
239,2,1.0,7.064759027791802,1170,1170,1.0,0.0,0.0,3,6,2,119
240,2,2.0,7.177782416195197,1310,1360,2.0,0.0,0.0,3,6,6,18
241,4,3.5,7.8399193600125825,1820,1520,2.0,0.0,0.0,5,8,1,112
242,4,2.25,7.824046010856292,1800,2500,1.0,0.0,0.0,5,7,11,44
243,4,2.5,7.824046010856292,2500,2500,2.0,0.0,0.0,3,9,9,9
244,4,2.0,7.358830898342354,1570,1550,2.0,0.0,0.0,4,7,6,38
245,2,1.0,6.813444599510896,910,890,1.0,0.0,0.0,5,6,9,80
246,3,2.25,7.2078598714324755,1160,1420,2.0,0.0,0.0,3,7,2,15
247,4,2.5,7.9996785794994505,2980,2900,2.0,0.0,0.0,3,8,3,21
248,4,2.75,7.912056888179006,2730,2230,2.0,0.0,0.0,3,7,2,17
249,4,2.5,7.620705086838262,2040,2260,2.0,0.0,0.0,3,8,10,19
250,3,2.5,7.444248649496705,1710,1540,2.0,0.0,0.0,3,7,10,41
251,4,2.5,7.426549072397305,1680,1420,2.0,0.0,0.0,3,7,3,19
252,4,2.25,8.468002947225466,3390,2950,2.5,0.0,0.0,5,9,11,106
253,4,2.25,7.77485576666552,2380,2100,2.0,0.0,0.0,4,8,3,45
254,7,5.5,8.799360083179907,4930,4470,2.0,0.0,0.0,3,10,6,18
255,4,2.75,7.554858521040676,1000,1880,1.0,0.0,0.0,4,7,7,42
256,4,2.5,7.989560449333865,2950,3160,2.0,0.0,0.0,3,9,4,18
257,4,2.0,7.495541943884256,900,1400,1.0,0.0,0.0,3,7,1,80
258,4,3.0,7.5652752818989315,1200,1930,1.0,0.0,0.0,3,7,6,16
259,2,2.0,7.081708586105575,800,1670,2.0,0.0,0.0,3,8,4,13
260,2,1.0,6.709304340258298,820,1730,1.0,0.0,0.0,3,7,8,69
261,3,2.25,7.640123172695364,1550,2080,1.5,0.0,0.0,3,7,7,19
262,3,1.75,7.258412150595307,1420,1620,1.0,0.0,0.0,4,7,7,48
263,3,2.0,7.7142311448490855,2240,2200,1.0,0.0,0.0,3,8,9,54
264,3,2.5,7.3395376954076745,770,1710,1.0,0.0,0.0,3,6,7,78
265,4,2.0,7.7142311448490855,1340,1930,1.0,0.0,2.0,4,8,4,96
266,4,2.75,7.847762537473608,1450,2500,1.0,0.0,2.0,4,8,11,47
267,4,2.5,7.828038032125829,2510,1830,2.0,0.0,0.0,3,9,4,15
268,4,1.75,7.450079569807499,860,1790,1.0,0.0,0.0,3,7,6,51
269,4,1.75,7.473069088032197,880,1680,1.0,0.0,0.0,3,7,10,66
270,3,2.5,7.715123603632105,2242,2009,2.0,0.0,0.0,3,8,11,10
271,4,2.5,8.03268487596762,3080,2740,2.0,0.0,0.0,3,9,11,29
272,4,3.0,7.659171367666058,1420,2020,1.5,0.0,0.0,3,8,8,37
273,3,2.5,8.019612794400267,3040,2760,2.0,0.0,0.0,3,7,6,19
274,3,2.75,7.644919344958857,2090,2280,2.0,0.0,0.0,3,8,5,10
275,4,2.5,7.352441100243583,1560,1560,2.0,0.0,0.0,3,7,10,19
276,2,1.0,7.649692623711514,1400,1570,1.0,0.0,0.0,5,7,12,114
277,4,2.25,7.8160138391590275,1900,2640,1.0,0.0,0.0,4,8,8,47
278,3,1.0,7.299797366758161,1480,1430,1.0,0.0,0.0,4,7,5,66
279,4,2.5,8.183118079394745,3580,2510,2.0,0.0,0.0,3,9,12,18
280,2,1.0,6.721425700790643,830,980,1.0,0.0,0.0,2,6,1,79
281,3,2.0,7.528331766707247,1860,2500,2.0,0.0,2.0,3,8,7,24
282,3,1.0,6.917705609835305,1010,1740,1.0,0.0,0.0,3,6,5,68
283,5,4.5,7.659171367666058,2120,2870,2.0,1.0,4.0,5,8,10,83
284,3,2.5,7.450079569807499,1720,1720,2.0,0.0,0.0,3,8,6,24
285,4,1.5,7.346010209913293,1180,1450,1.0,0.0,0.0,4,7,7,59
286,3,2.0,7.7664168980196555,1560,2000,2.0,0.0,3.0,3,8,11,96
287,3,1.75,7.52294091807237,1650,1540,1.5,0.0,0.0,3,8,8,109
288,4,3.0,7.615791072035833,2030,1990,2.0,0.0,0.0,3,7,3,40
289,3,1.75,7.326465613840322,760,1040,1.0,0.0,0.0,5,6,3,77
290,4,2.75,7.696212639346407,1120,1210,1.0,0.0,0.0,5,7,12,71
291,3,3.0,7.585788821732034,1970,2150,1.0,0.0,0.0,3,8,5,12
292,3,1.75,7.600902459542082,1120,2140,1.0,0.0,0.0,4,8,11,71
293,4,2.25,8.134467570277563,2410,2870,2.0,0.0,0.0,4,8,3,44
294,3,1.5,7.484368643286131,1030,1780,1.0,0.0,4.0,4,7,12,64
295,3,2.75,7.904703913873747,1480,2960,1.5,0.0,4.0,3,9,3,47
296,5,3.0,8.009695357742922,3010,2370,2.0,0.0,0.0,3,9,12,14
297,3,1.75,7.590852123688581,1980,2080,2.0,0.0,0.0,3,8,5,35
298,3,2.25,7.365180126021013,1580,1450,1.0,0.0,0.0,4,7,5,44
299,3,1.0,7.064759027791802,1170,1170,1.0,0.0,0.0,4,7,1,62
300,4,2.0,7.4205789054108005,1670,1860,1.0,0.0,0.0,3,7,5,67
301,2,1.0,7.038783541388542,1140,2940,1.5,0.0,0.0,3,6,2,56
302,3,1.0,7.02108396428914,1120,1450,1.0,0.0,0.0,3,7,4,69
303,4,2.75,7.723120092266331,1330,1790,1.0,0.0,3.0,3,7,4,20
304,5,2.5,7.787382026484701,1600,2410,1.0,0.0,0.0,5,7,12,44
305,2,1.0,6.813444599510896,910,1480,1.0,0.0,0.0,4,6,8,108
306,3,1.0,6.956545443151569,1050,1500,1.0,0.0,0.0,3,6,5,68
307,4,2.5,8.055157731819678,3150,3030,2.0,0.0,0.0,3,9,5,16
308,5,2.75,7.843848638152472,1390,2450,1.0,0.0,0.0,5,8,7,55
309,2,2.5,7.22983877815125,1050,1360,2.0,0.0,0.0,3,8,10,14
310,3,2.0,7.590852123688581,1380,1260,1.0,0.0,0.0,4,7,8,64
311,3,2.75,7.705262474866325,2220,960,2.0,0.0,0.0,3,7,3,29
312,2,1.75,7.402451520818244,840,1980,1.0,0.0,0.0,3,7,6,101
313,6,2.0,7.61085279039525,1010,2020,1.0,0.0,0.0,3,7,4,43
314,3,1.75,7.1929342212158,1330,1330,1.0,0.0,0.0,3,7,9,44
315,4,3.0,8.174702882469461,2180,3170,1.5,0.0,0.0,4,10,7,32
316,2,1.5,7.038783541388542,1140,1150,2.0,0.0,0.0,3,7,6,34
317,4,2.5,7.9996785794994505,1690,2690,1.0,0.0,0.0,4,8,9,45
318,4,2.5,7.649692623711514,2100,2370,2.0,0.0,0.0,3,8,7,24
319,5,2.5,7.649692623711514,2100,1980,1.0,0.0,0.0,5,8,1,52
320,3,1.75,7.605890001053122,1230,2210,1.0,0.0,0.0,5,7,5,110
321,3,1.75,7.600902459542082,1140,1060,1.0,0.0,0.0,3,7,8,43
322,3,2.5,7.8709295967551425,2620,2280,2.0,0.0,0.0,3,7,4,20
323,4,2.0,7.6638772587034705,2130,1490,1.5,0.0,0.0,5,7,2,83
324,5,3.0,7.539027055823995,1100,1640,1.0,0.0,0.0,3,7,6,25
325,3,2.5,7.8160138391590275,2480,2600,2.0,0.0,0.0,3,9,3,32
326,2,2.0,7.7664168980196555,2360,3030,1.5,0.0,0.0,3,9,7,25
327,4,2.5,7.61085279039525,2020,2090,2.0,0.0,0.0,3,7,5,28
328,5,2.0,7.9724660159745655,2900,1260,2.0,0.0,0.0,4,7,2,53
329,4,2.75,7.696212639346407,1500,2120,1.0,0.0,0.0,3,8,10,43
